STAID,Y7Q10,STATE,LAT_GAGE,LNG_GAGE,LAT_GAGE_UTM,LNG_GAGE_UTM,STANAME,DRAIN_SQKM,HUC02,CLASS,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,RH_BASIN,RH_SITE,FST32F_BASIN,LST32F_BASIN,FST32SITE,LST32SITE,WD_BASIN,WD_SITE,WDMAX_BASIN,WDMIN_BASIN,WDMAX_SITE,WDMIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_CODE,GEOL_HUNT_DOM_PCT,GEOL_HUNT_DOM_DESC,GEOL_HUNT_SITE_CODE,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,REACHCODE,ARTIFPATH_PCT,ARTIFPATH_MAINSTEM_PCT,HIRES_LENTIC_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,PCT_NO_ORDER,NDAMS_2009,DDENS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,MAJ_DDENS_2009,pre1940_NDAMS,pre1950_NDAMS,pre1960_NDAMS,pre1970_NDAMS,pre1980_NDAMS,pre1990_NDAMS,pre1940_DDENS,pre1950_DDENS,pre1960_DDENS,pre1970_DDENS,pre1980_DDENS,pre1990_DDENS,pre1940_STOR,pre1950_STOR,pre1960_STOR,pre1970_STOR,pre1980_STOR,pre1990_STOR,RAW_DIS_NEAREST_DAM,RAW_AVG_DIS_ALLDAMS,RAW_DIS_NEAREST_MAJ_DAM,RAW_AVG_DIS_ALL_MAJ_DAMS,CANALS_PCT,RAW_DIS_NEAREST_CANAL,RAW_AVG_DIS_ALLCANALS,CANALS_MAINSTEM_PCT,NPDES_MAJ_DENS,RAW_DIS_NEAREST_MAJ_NPDES,RAW_AVG_DIS_ALL_MAJ_NPDES,FRESHW_WITHDRAWAL,MINING92_PCT,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,FRAGUN_BASIN,HIRES_LENTIC_NUM,HIRES_LENTIC_DENS,HIRES_LENTIC_MEANSIZ,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,CDL_CORN,CDL_COTTON,CDL_RICE,CDL_SORGHUM,CDL_SOYBEANS,CDL_SUNFLOWERS,CDL_PEANUTS,CDL_BARLEY,CDL_DURUM_WHEAT,CDL_SPRING_WHEAT,CDL_WINTER_WHEAT,CDL_WWHT_SOY_DBL_CROP,CDL_OATS,CDL_ALFALFA,CDL_OTHER_HAYS,CDL_DRY_BEANS,CDL_POTATOES,CDL_FALLOW_IDLE,CDL_PASTURE_GRASS,CDL_ORANGES,CDL_OTHER_CROPS,CDL_ALL_OTHER_LAND,PDEN_2000_BLOCK,PDEN_DAY_LANDSCAN_2007,PDEN_NIGHT_LANDSCAN_2007,ROADS_KM_SQ_KM,RD_STR_INTERS,IMPNLCD06,NLCD01_06_DEV,HGA,HGB,HGAD,HGC,HGD,HGAC,HGBD,HGCD,HGBC,HGVAR,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
2342500,5.6,AL,32.316815,-85.014931,1026691.5,1086495,"UCHEE CREEK NEAR FORT MITCHELL, AL.",830.6,3,Non-ref,14,2.25,32.452072,-85.219369,132.01,128.45,17.42,17.7,24.14,0.25,24.6,11.02,0.159,11,69.4,69,309.2,83.7,309,85,97.8,93,11.3,4.9,11,4,939.5,1,0.095,13.29,12.3,15.36,10.84,9.3,10.1,13.54,9.15,9.09,6.91,10.52,11.67,7.61,9.37,13.3,17.38,21.6,25.26,26.71,26.38,23.73,18,12.72,8.76,sedimentary,84.9,sedimentary,rs,53.7,"Sandy residuum, derived by intensive weathering of sandstone formations. Sand locally is in dunes",al,1.03,5,1.49,3.13E+12,2.97,0.84,1.09,49.9,5.3,2.8,12.41,96.6,448.2,59.3,73.3,86.1,66.9,39.1,23.1,16.9,10.2,7.4,7.8,15.1,36.6,441.8,59.93,20.73,7.85,9.35,0.93,0,1.2,40,4.82,12.3,9.45,1,0.12,1,12,26,39,40,40,0.12,1.44,3.13,4.7,4.82,4.82,0.09,2.98,4.85,12.13,12.3,12.3,7.2,24.9,37.1,37.1,0,-999,-999,0,0,-999,-999,21,0.08,0.21,0,0,45.1,615,0.74,14.8,8.12,51.91,15.79,1.18,0,5.72,2.18,0.2,0.03,0.23,26.55,18.08,7.29,15.62,2.02,11.68,4.12,5.02,0.1,0.07,0.16,0,0,0.1,0,0.45,0,0,0,0.02,0,0,0,1.54,0,0,2.3,3.12,0,0.06,92.19,35.05,14.12,33.07,1.31,0.34,1.26,0.24,32.02,25.69,0,25.96,13.2,0,3.12,0,0,0,0.12,3.66,1.48,0.65,4.97,59.41,95.59,45.83,92.87,24.09,25.27,50.64,0.19,350.7,136.6,255,63,132,33.9,67,0.383,0.359,3.4,158.9,-0.933,0.36
2342933,0.57,AL,32.017657,-85.29577,1004303.688,1050369.5,SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL,290.1,3,Ref,8,1.95,32.025792,-85.419528,135.7,133.93,17.71,17.6,24.52,0.109,24.7,11.58,0.132,11.3,70,70,312.5,81,310,84,88.9,90,10.5,4,11,4,947.2,0.7,0.081,13.46,12.06,15.86,10.34,9.76,11.53,14.26,9.56,9.66,7.12,10.75,11.3,8.32,10.06,13.97,17.95,22.06,25.5,26.8,26.54,24.12,18.49,13.38,9.52,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,1.29,5,1.39,3.13E+12,1.71,0,0.47,45.3,5.3,3.8,12.77,51.8,448.2,58.1,71.1,85.2,62.9,37.4,23.9,19.8,11.8,9.3,8.2,15.6,38.7,442.1,64.47,17.16,8.12,7.02,3.01,0,0.22,4,1.38,5.28,4.55,0,0,0,1,2,2,4,4,0,0.34,0.69,0.69,1.38,1.38,0,0.74,3.96,3.96,5.28,5.28,10.1,13.7,-999,-999,0,-999,-999,0,0,-999,-999,4,0,0.15,0,0,26.5,92,0.317,14.9,3.74,68.21,6.5,0.88,0,3.48,0.26,0.01,0,0,28.37,28.16,11.67,14.11,1.52,3.65,2.85,5,0.03,0.03,0.05,0,0,0.03,0,0.31,0,0,0,0.01,0,0,0,0.56,0,0,1.61,1.97,0,0.13,95.31,2.07,1.66,2.29,0.9,0.21,0.28,0,35.55,12.12,0,25.42,24.76,0,2.16,0,0,0,0.12,4.2,1.5,0.57,4.99,59.94,96.71,48.39,94.69,24.64,26.45,48.91,0.19,395.75,110,205,62,109,19.9,71,0.336,0.329,3.2,123.2,-0.547,0.837
2343300,21,AL,31.473505,-85.162431,1023655.938,991580.5,ABBIE CREEK NEAR HALEBURG AL,378.7,3,Ref,8,1.63,31.541522,-85.241971,142.49,141.58,18.37,18.6,24.95,0.136,25.2,12.09,0.07,12.3,71.9,72,314.5,73.3,315,72,89.3,89,10.3,4.1,10,4,978.3,0,0.078,15.14,13.02,16.07,10.06,9.97,13.01,15.53,10.08,10,7.19,11.22,11.22,8.94,10.77,14.56,18.58,22.65,25.82,26.87,26.66,24.43,19.03,14,10.13,sedimentary,100,sedimentary,rl,99.6,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.89,5,2.21,3.13E+12,0.7,0,0.24,53,5.3,7.9,12.36,100,454.3,63.6,77.1,86.8,61.7,37.6,25.7,22,13.1,10.9,8,16.9,38.6,462.1,65.67,15.02,9.59,6.75,2.63,0,0.34,2,0.53,0.81,0.57,0,0,0,0,2,2,2,2,0,0,0.53,0.53,0.53,0.53,0,0,0.81,0.81,0.81,0.81,10.1,13.6,-999,-999,0,-999,-999,0,0,-999,-999,4.4,0.09,0.63,0,0,46.4,64,0.169,14,5.99,50.49,21.93,0.44,0,4.41,1.23,0.29,0.06,0.21,12.95,21.92,15.61,16.36,1.72,5.56,16.37,2.85,0.02,0.38,2.5,0,0.05,0.19,0,5.71,0,0,0,0.03,0.01,0.01,0,2.33,0,0,1.88,10.38,0,0.26,76.27,13.91,14.35,12.86,1.36,0.34,0.96,0,28.36,43.76,0.36,22.57,4.2,0,0.75,0,0,0,0.11,3.63,1.53,0.29,5.2,60,97.3,40.45,95.26,23.32,19.15,57.53,0.18,436.79,111,170,48,112,21,53,0.516,0.525,4.3,155.7,-0.912,0.411
2361000,71,AL,31.342949,-85.610491,983092.5,972409.875,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",1781.6,3,Ref,8,1.99,31.586955,-85.464879,142.23,146.56,18.28,18.6,24.89,0.23,25.3,12.05,0.096,12,71.3,72,315.4,74.8,316,72,92.8,98,10.8,4.1,12,4,972.4,0,0.08,14.63,12.98,16.34,10.23,10.08,12.92,15.31,9.87,10.19,7.29,11.14,11.26,8.89,10.7,14.47,18.5,22.55,25.77,26.86,26.65,24.41,19,13.94,10.08,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.91,5,1.35,3.14E+12,1.05,0,0.3,48.7,5.2,6.7,12.49,78.3,492.5,62.5,75.7,87.1,62.7,37.9,25.2,22,13.2,11.3,8.8,16.7,39.6,462.8,65.03,17.64,8.02,8.06,1.19,0,0.06,15,0.84,1.53,1.17,0,0,1,1,6,8,12,14,0.06,0.06,0.34,0.45,0.67,0.79,0.12,0.12,0.96,1.05,1.26,1.47,5,24.2,-999,-999,0,-999,-999,0,0,-999,-999,5.8,0.04,0.68,0,0,44.5,751,0.422,7,4.48,48.87,20.87,0.63,0,3.8,0.55,0.12,0.02,0.25,19.28,22.42,7.16,16.68,2.1,8.63,12.24,6.05,0.07,0.39,1.58,0,0.01,0.14,0,3.14,0,0,0,0.04,0.01,0.01,0,3.66,0,0,2.78,11.71,0,0.28,76.25,11.52,7.79,10.92,1.2,0.31,0.54,0.01,38.05,24.41,1.04,26.1,9.76,0,0.64,0,0,0,0.11,4.51,1.52,0.39,5.43,60,97.11,41.89,95.02,22.49,21.6,55.91,0.17,439.14,114,192,44,114,24.5,49,0.473,0.473,3.8,168.1,-0.978,0.207
2361500,267,AL,31.159342,-85.784379,968894.313,950315.313,CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL,3313.1,3,Non-ref,16,1.79,31.455091,-85.561834,144.24,148.92,18.41,18.6,24.98,0.219,25.2,12.11,0.119,12.1,71.5,72,315.7,73.9,315,73,95.8,101,11.4,4.3,13,5,978.4,0,0.079,14.89,13.2,16.47,10.32,10.45,13.1,15.45,10.06,10.47,7.41,11.33,11.11,9.02,10.85,14.58,18.55,22.6,25.82,26.92,26.69,24.48,19.08,14.04,10.2,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.87,6,1.4,3.14E+12,1.45,8.69,0.44,49.4,5.4,6.8,12.48,87,493,63.5,76.6,87.1,63.5,38.9,25.5,22.6,13.8,12.2,9.6,17.4,39.6,470.4,64.95,17.23,8.41,6.39,2.77,0.22,0.04,39,1.18,8.81,4.91,1,0.03,2,2,9,18,31,37,0.06,0.06,0.27,0.54,0.94,1.12,6.62,6.62,7.22,7.55,8.45,8.73,13.6,35.6,25.7,25.7,0,-999,-999,0,0.15,16.4,25,14.7,0.02,0.87,1,8.6,51.1,1392,0.42,10.4,8.3,44.26,24.07,0.74,0,5.6,1.79,0.64,0.27,0.17,15.14,22.41,6.71,15.3,1.54,9.27,14.8,5.53,0.09,0.73,2.49,0,0.01,0.27,0,4.58,0,0,0,0.13,0.06,0.02,0,3.46,0,0,3.38,11.14,0,0.31,73.43,37.23,36.22,35.78,1.67,0.42,1.65,0.18,36.57,31.4,0.56,20.88,10.05,0,0.54,0,0,0,0.11,4.51,1.52,0.39,5.38,60,97.08,40.62,95.05,22.08,20.67,57.25,0.17,450.97,101.3,192,29,100,27.1,30,0.444,0.436,3.6,166.4,-0.972,0.236
2362240,2.9,AL,31.272393,-85.958274,951136.813,961064.813,"LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.",55.2,3,Ref,9,2.28,31.323849,-85.971135,148.07,148.57,18.32,18.4,24.86,0.101,25.1,12.21,0.075,12.1,72,72,317,74.6,317,74,104,104,13,5,13,5,973.5,0,0.086,15.22,13.51,17.1,10.57,11.78,12.99,15.6,10.4,10.43,7.6,11.73,11.16,9.08,10.87,14.59,18.49,22.5,25.78,26.95,26.63,24.45,19.1,14.07,10.26,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.83,3,1.16,3.14E+12,0,0,0.05,46.6,5,8.4,12.6,111,492.5,66.2,79.6,88.9,67.5,43.5,28.2,25.2,16,15,12,19.4,42.5,504.2,62.68,25.12,12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,-999,-999,0,0,-999,-999,10,0,0.23,0,0,62.7,6,0.109,4.4,4.8,42.86,37.39,0.36,0,4.62,0.17,0.01,0,0,10.57,20.29,12.01,12.25,1.01,13.92,23.47,1.29,0.04,1.93,9.62,0,0.02,3.99,0,6.53,0,0,0,0.13,0.02,0.03,0,2.84,0,0,3.77,13.31,0,0.97,56.85,16.24,6.36,14.96,1.29,0.37,0.44,0,18.02,69.02,0,7.3,4.67,0,0.99,0,0,0,0.12,3.24,1.54,0.27,5.35,60,97.96,39.97,96.09,22.85,18.75,58.4,0.16,475.99,101.4,144,61,102,15.7,64,0.487,0.494,3.4,190.2,-0.984,-0.176
2364500,109,AL,31.112676,-86.099387,939667.313,941990.125,PEA RIVER NEAR SAMSON AL,3066.1,3,Ref,10,1.18,31.659554,-85.85926,143.92,152.21,18.04,18.6,24.77,0.3,25.3,11.95,0.187,11.7,70.5,72,314.4,77.8,314,76,97.3,105,11.8,4.7,13,5,962.4,0.1,0.082,14.28,12.86,16.93,10.59,10.69,12.84,15.15,10.03,10.26,7.47,11.48,11.36,8.79,10.54,14.28,18.29,22.4,25.74,26.9,26.63,24.37,18.89,13.71,9.87,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.99,6,1.53,3.14E+12,1.17,2.6,0.49,44.8,5,7.8,12.49,84.4,471.5,63.2,76.5,90.8,67.2,41.2,27.2,23.5,14,12.5,11,18.1,42.1,487.4,64.26,17.12,8.49,3.57,4.1,1.69,0.77,36,1.17,2.5,1.91,0,0,2,6,17,26,33,36,0.07,0.2,0.55,0.85,1.08,1.17,0.43,0.58,1.36,1.64,2.07,2.5,5.1,68,-999,-999,0,-999,-999,0,0.03,74.9,74.9,6.7,0.02,0.84,0,0,40.8,1604,0.523,9.5,4.93,54.41,16.96,0.85,0,4.24,0.49,0.14,0.06,0.09,16.7,26.22,11.49,13.95,1.84,8.97,7.99,6.76,0.2,1.01,1.06,0,0.02,0.34,0,1.72,0,0,0,0.13,0.03,0.04,0,3.31,0,0,1.95,10.91,0,0.21,79.27,13.39,10.82,12.44,1.2,0.29,0.57,0.04,25.23,29.98,0.31,29.95,12.65,0,1.89,0,0,0,0.12,3.68,1.52,0.41,5.07,59.9,96.9,44.26,94.84,22.87,23.81,53.32,0.19,446.49,112.9,210,30,114,29.2,38,0.461,0.467,3.6,168.7,-0.981,0.196
2364570,0.98,AL,31.121008,-86.18689,931296.563,942050.688,PANTHER CREEK NEAR HACODA AL,68.4,3,Ref,8,2.14,31.121416,-86.242742,154.38,153.68,18.3,18.4,25.29,0.04,25.3,11.79,0.05,11.8,71,71,311.5,79.6,313,78,104.5,104,13,5,13,5,973.3,0,0.075,15.28,13.68,17.56,10.98,12.43,13.42,16.72,11.78,11.25,7.96,12.05,11.27,9.18,10.99,14.56,18.43,22.5,25.83,27,26.71,24.49,18.96,13.9,10.19,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.95,3,1.21,3.14E+12,3.23,3.64,0.35,50.7,6,7.1,13.47,39.6,483.4,70.2,84.3,93.5,71.1,47.5,33.4,27.2,17.7,19.6,16.6,25.2,47.2,553.4,70.67,18.27,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,-999,-999,0,0,-999,-999,14.6,0,0,0,0,38.2,25,0.366,9.7,4.28,54.89,9.43,0.34,0,4.14,0.14,0,0,0,2.14,48.37,4.38,19.03,6.49,7.17,2.26,5.45,0.1,0.58,0.67,0,0,0.45,0,1.18,0,0,0,0.04,0.01,0.03,0,1.2,0,0,2.35,9.02,0,0.04,84.43,0.79,0.37,0.73,1.53,0.42,0.31,0,17.47,51.96,0,7.98,21.8,0,0.79,0,0,0,0.12,3.49,1.48,0.62,3.95,60,93.48,39.8,90.62,20.81,23.14,56.05,0.19,498.48,70.5,98,45,71,8.5,48,0.482,0.491,2.4,161.1,-0.946,0.324
2369800,23,AL,31.02768,-86.709957,882831.625,926730.063,BLACKWATER RIVER NEAR BRADLEY AL,227.5,3,Ref,6,2.6,31.086432,-86.667317,160.98,162.71,18.18,18.3,25.4,0.074,25.6,11.72,0.084,11.5,70,70,309.6,82.7,310,81,101.7,101,12.8,5,13,5,966.8,0,0.066,15.75,13.78,17.78,11.33,12.92,14.4,17.39,12.98,12.67,7.9,12.4,11.7,9.21,10.98,14.51,18.44,22.51,25.87,27.03,26.77,24.52,18.97,13.85,10.2,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.74,4,1.39,3.14E+12,1.98,0,1.87,54.4,3.9,3.8,12.64,27.1,728.8,72.6,84.5,98.5,72.5,50.5,38.9,31.7,20.8,20.8,17.2,25.5,50.8,584.3,58.41,27.82,8.81,0.15,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,-999,-999,0,0,-999,-999,17.6,0,0,0,0,21.5,98,0.431,43.3,2.76,78.63,8.04,0.14,0,2.68,0.09,0,0,0,2.76,66.07,9.8,6.32,1.76,5.71,2.33,2.31,0.04,0.52,1.06,0,0,0.09,0,0.95,0,0,0,0,0,0,0,0.95,0,0,0.4,3.3,0,0.03,92.7,1.19,0.53,1.18,1.02,0.26,0.21,0,17.51,52.97,0,6.38,22.46,0,0.68,0,0,0,0.12,3.5,1.48,0.62,3.98,60,93.49,40.28,90.66,21.02,23.42,55.56,0.19,517.37,69.7,104,38,69,10.1,39,0.481,0.47,2.1,197.6,-0.953,-0.302
2371200,0.5,AL,31.814044,-86.12079,929542.313,1019425.125,INDIAN CREEK NEAR TROY AL,23.2,3,Ref,6,2.38,31.839972,-86.128714,142.42,142.01,17.8,17.8,24.51,0.091,24.7,12.31,0.118,12.2,70,70,314.5,79,314,79,96.8,97,11.8,5,12,5,953.7,0,0.088,13.91,12.97,17.1,10.88,10.23,12.61,14.05,10.04,10.27,7.28,11.63,11.43,9.08,10.61,14.35,18.28,22.4,25.72,26.78,26.59,24.42,19.06,13.72,9.95,sedimentary,100,sedimentary,rl,100,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",rl,0.6,2,1.11,3.14E+12,0,0,0.03,41.6,4,8,11.63,26.5,466.1,64.7,79.4,93.7,68.7,40.7,27,22.6,13.2,11.6,10.7,17,42.4,491.8,63.69,36.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,-999,-999,0,0,-999,-999,5.7,0.34,0,0,0,35.9,4,0.173,1.6,4.52,67.69,12.23,0.97,0,4.37,0.14,0,0,0.02,40.8,21.83,5.07,10.7,0.92,6.77,5.46,2.83,0.12,0.37,0.8,0,0,0.08,0,0.75,0,0,0,0,0,0,0,3.36,0,0,0.58,6.57,0,0.09,87.4,6.11,2.94,7.33,1.16,0.29,0.32,0,25.09,17.98,0,47.09,9.84,0,0,0,0,0,0.11,3.48,1.52,0.43,5.63,60,96.62,41.68,94.54,23.02,21.04,55.94,0.18,449.06,142.5,183,106,143,15.6,108,0.474,0.481,5.5,176,-0.998,0.069
